name,tx,ty,tz,rx,ry,rz
thumb,7.794,-15.708,15.4,0,44.5,127.9
index,-31.827,7.03,-9.986,-12.7,28.8,-7.3
middle,-12.18,7.011,-19.95,-10.4,9.8,-5.8
ring,8.972,6.707,15.924,15.6,15.6,1
pinky,27.865,8.901,11.492,0,28.2,6.9
